brand,bucketed_dwell_times,city,close_date,date_range_end,date_range_start,device_type,distance_from_home,footprint_id,id_store,is_distributor,iso_country_code,latitude,location_name,longitude,median_dwell,msa_code,naics_code,open_date,persistent_id,persistent_id_store,poi_cbg,postal_code,region,related_same_day_brand,related_same_week_brand,street_address,sub_category,ticker,top_category,visit_counts,visitor_country_of_origin,visitor_counts,visitor_daytime_cbgs,visitor_home_aggregation,visitor_home_cbgs,visits_by_day,visits_by_each_hour
All Other Miscellaneous Store Retailers (except Tobacco Stores),"{""<5"":507, ""5-20"":51, ""21-60"":0,""61-240"":0,"">240"":25}",LOS ANGELES,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":559,""ios"":25}",3490.0,8601946504370120263,12288179,False,US,33.963367,GREENFIELD DAIRY,-118.300554,15.0,31080,453998,1970-01-01,A1_NAICS-453998,12288179,060372382004,90044,CA,"{""Grocery Stores"":356,""Mall"":127,""Western Union"":127,""Cardtronics"":102,""Office Building"":102,""Moneygram"":76,""Restaurants"":76,""Universities and Colleges"":76,""Walgreens"":76,""Convenience Stores"":51,""El Pollo Loco"":51,""FedEx"":51,""Greystar"":51,""Hankook Tire"":51,""Hotel"":51,""LAZ Parking"":51,""McDonald's"":51,""Toys R Us"":51,""Travelers"":51}","{""Mall"":457,""Cardtronics"":432,""Grocery Stores"":432,""Western Union"":407,""Restaurants"":356,""Office Building"":305,""Moneygram"":280,""Convenience Stores"":203,""Hotel"":178,""McDonald's"":178,""Starbucks"":178,""Universities and Colleges"":178,""Walgreens"":178,""7 Eleven"":152,""Courts"":152,""Food 4 Less"":152,""Freshpet"":152,""Live Nation Promoted Venues"":152,""Boost Mobile"":127}",8303 SOUTH NORMANDIE AVENUE,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,NAICS-453998,Other Miscellaneous Store Retailers ,584,"{""US"":584}",584,None,"{""06037238200"":584}","{""060372382001"":584}","[76,76,25,152,126,51,77]","[0,0,0,0,0,0,0,0,51,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,51,51,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,26,0,0,0,0,0,0,0,0,0,0,0]"
Used Car Dealers,"{""<5"":406, ""5-20"":202, ""21-60"":50,""61-240"":26,"">240"":127}",Sheffield,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":381,""ios"":203}",13292.0,1515594750405654070,10515456,False,US,42.1583204,Used Car Dealers,-73.3646835,19.0,38340,441120,1970-01-01,A1_NAICS-441120,10515456,250039261001,1257,MA,"{""The Hartford Auto Repair Shops"":407,""Mall"":178,""Western Union"":152,""Convenience Stores"":102,""Freshpet"":76,""Hotel"":76,""Agway"":51,""Big Y Foods"":51,""Do It Best"":51,""Golf Courses"":51,""Gulf Oil"":51,""McDonald's"":51,""Progressive"":51,""Restaurants"":51,""Stop & Shop"":51,""Sunoco"":51,""The Hartford"":51,""Truck Stops"":51,""U Haul"":51}","{""Mall"":407,""The Hartford Auto Repair Shops"":407,""Western Union"":254,""Hotel"":203,""Freshpet"":178,""Convenience Stores"":152,""Dunlop Tires"":152,""McDonald's"":152,""Moneygram"":152,""Restaurants"":152,""Stop & Shop"":152,""Big Y Foods"":127,""Truck Stops"":127,""Walmart"":127,""Marshalls"":102,""Sodastream"":102,""The Hartford"":102,""Travelers"":102,""USPS"":102}",1924 N Main St,Used Car Dealers ,NAICS-441120,Automobile Dealers ,811,"{""US"":585}",585,"{""250039261001"":264,""250039251025"":107,""090052602001"":107,""250039251021"":107}","{""25003926100"":324,""25003925102"":131,""09005260200"":130}","{""250039261001"":194,""090052602001"":131,""250039251025"":130,""250039261004"":130}","[101,151,127,102,176,128,26]","[0,0,0,0,0,0,0,25,25,25,25,51,25,25,25,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,50,25,76,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,25,51,25,0,25,51,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,76,51,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,50,25,25,0,25,76,25,0,0,0,0,0,0,0,26,0,0,0,0,0,0,51,0,0,51,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0]"
Beauty Salons,"{""<5"":585, ""5-20"":76, ""21-60"":25,""61-240"":25,"">240"":51}",Sunnyside,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":407,""ios"":178}",8580.0,8627603400809754196,9564032,False,US,40.7468796,Beauty Salons,-73.9219208,34.0,35620,812112,1970-01-01,A1_NAICS-812112,9564032,360810181021,11104,NY,"{""U.S. Ports"":585,""NYC Parks"":407,""Office Building"":305,""Moneygram"":229,""Allsites Union"":203,""Coarse All Geometries"":203,""Parents Zones GroundTruth Foreverwild"":203,""GroundTruth and Zones NOT Plgd-Beach-Rec-Golf"":152,""Parents 7 plus overlapping zones"":152,""Western Union"":152,""Coarse 1 overlapping zone"":127,""Coarse 7 plus overlapping zones"":127,""Hotel"":102,""Live Nation Promoted Venues"":102,""Playgrounds Allsites FullParents InternalZones"":102,""Airport"":76,""Coarse 2 to 6 overlapping zones area under million sq ft"":76,""Gulf Oil"":76,""Mall"":76}","{""U.S. Ports"":585,""NYC Parks"":508,""Allsites Union"":407,""Coarse All Geometries"":407,""Office Building"":407,""Parents Zones GroundTruth Foreverwild"":407,""Western Union"":407,""Parents 7 plus overlapping zones"":330,""Mall"":305,""Moneygram"":305,""Universities and Colleges"":305,""Hotel"":280,""Coarse 1 overlapping zone"":254,""Coarse 2 to 6 overlapping zones area under million sq ft"":254,""Coarse 7 plus overlapping zones"":254,""Coffee Shops"":254,""GroundTruth and Zones NOT Plgd-Beach-Rec-Golf"":254,""Live Nation Promoted Venues"":254,""Grocery Stores"":229}",4108 42Nd St,Beauty Salons ,NAICS-812112,Personal Care Services ,763,"{""US"":585}",585,"{""360810181021"":585}","{""36081018102"":585}","{""360810181021"":585}","[152,50,153,102,101,102,103]","[0,0,0,0,0,25,0,0,76,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,25,25,25,0,0,25,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,0,25,0,25,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,26,0,0,0,26,26,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,26,0,0,0,0,0]"
Scooter's Coffee,"{""<5"":356, ""5-20"":25, ""21-60"":76,""61-240"":152,"">240"":0}",Cedar Rapids,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":356,""android"":229}",5817.0,5891580611847597954,5961942,False,US,42.048498,Scooter's Coffee,-91.639144,68.0,16300,722515,2016-08-02,A1_SCOOTR-A,5961942,191130002111,52402,IA,"{""Freshpet"":152,""Mall"":152,""Washington Prime Group"":127,""Whirlpool"":127,""Target"":102,""Convenience Stores"":51,""Fire Protection"":51,""Golf Courses"":51,""Gyms"":51,""Hospitals"":51,""Hy-Vee"":51,""Keds"":51,""Restaurants"":51,""Sodastream"":51,""Universities and Colleges"":51,""AT&T"":25,""Audiologists"":25,""Auto Value"":25,""Buffalo Wild Wings"":25}","{""Mall"":381,""Freshpet"":305,""Whirlpool"":280,""Washington Prime Group"":229,""Western Union"":229,""Moneygram"":203,""Hy-Vee"":178,""Dunlop Tires"":152,""Restaurants"":152,""Sodastream"":152,""Starbucks"":152,""Universities and Colleges"":152,""Convenience Stores"":127,""Hospitals"":127,""Target"":127,""Walmart"":127,""Auto Value"":102,""Best Buy"":102,""Bumper to Bumper Canada"":102}",7037 C Avenue Northeast,Snack and Nonalcoholic Beverage Bars ,SCOOTR-A,Restaurants and Other Eating Places,610,"{""US"":585}",585,"{""191130105001"":195,""191130001012"":195,""191130009023"":195}","{""19113000211"":195,""19113000102"":195,""19113010500"":195}","{""191130002112"":195,""191130105001"":195,""191130001023"":195}","[51,126,76,102,76,128,52]","[0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,25,0,50,76,0,25,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,77,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0]"
Tobacco Stores,"{""<5"":558, ""5-20"":51, ""21-60"":25,""61-240"":25,"">240"":101}",Brooklyn,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":432,""ios"":178}",1450.0,8975702713672941612,8354237,False,US,40.6237602,Tobacco Stores,-74.0040512,21.0,35620,453991,1970-01-01,A1_NAICS-453991,8354237,360470196003,11228,NY,"{""U.S. Ports"":610,""NYC Parks"":381,""Allsites Union"":178,""Coarse All Geometries"":178,""Parents Zones GroundTruth Foreverwild"":178,""Western Union"":178,""Grocery Stores"":127,""Office Building"":127,""Advan"":102,""Coarse 2 to 6 overlapping zones area under million sq ft"":102,""GroundTruth and Zones NOT Plgd-Beach-Rec-Golf"":102,""Parents 2 to 6 overlapping zones area under million sq ft"":102,""Parents 7 plus overlapping zones"":102,""Restaurants"":102,""Ports"":76,""Walgreens"":76,""Coarse 7 plus overlapping zones"":51,""Delicatessens"":51,""Forever Wild"":51}","{""U.S. Ports"":610,""NYC Parks"":559,""Parents Zones GroundTruth Foreverwild"":330,""Allsites Union"":305,""Coarse All Geometries"":305,""Western Union"":305,""GroundTruth and Zones NOT Plgd-Beach-Rec-Golf"":254,""Restaurants"":254,""Grocery Stores"":229,""Office Building"":229,""Advan"":203,""Coarse 2 to 6 overlapping zones area under million sq ft"":203,""Coffee Shops"":203,""Delicatessens"":203,""Hospitals"":178,""Parents 2 to 6 overlapping zones area under million sq ft"":178,""Parents 7 plus overlapping zones"":178,""Live Nation Promoted Venues"":152,""Coarse 1 overlapping zone"":127}",6906 13Th Ave,Tobacco Stores ,NAICS-453991,Other Miscellaneous Store Retailers ,761,"{""US"":610}",610,"{""360470116001"":204,""360470208001"":203,""360470196003"":203}","{""36047011600"":204,""36047020800"":203,""36047019600"":203}","{""360470116001"":204,""360470196003"":203,""360470208001"":203}","[152,202,153,51,76,77,52]","[0,0,0,0,0,25,0,25,0,0,0,0,25,25,51,25,0,0,0,0,25,25,0,0,0,25,0,0,0,25,0,25,25,50,0,0,0,0,0,50,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,25,25,25,0,25,51,51,25,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,25,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,51,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0]"
Monsanto Asgrow and Dekalb,"{""<5"":0, ""5-20"":0, ""21-60"":0,""61-240"":26,"">240"":0}",Headland,2018-06-07,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,444641859931870294,3752640,True,US,31.3729567,Monsanto Company,-85.3181425,135.0,20020,325320,1970-01-01,A1_MON,3752640,010670305002,36345,AL,None,None,9054 County Road 45 S,Pesticide and Other Agricultural Chemical Manufacturing,MON,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",26,None,26,None,None,None,"[26,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
National Storage Affiliates,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Indio,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,82839818282319446,5717758,False,US,33.7360425,National Storage Affiliates,-116.235157,None,40140,531130,1970-01-01,A1_NSA,5717758,060650452091,92201,CA,"{""AT&T"":26,""Bright Now Dental"":26,""Cardtronics"":26,""CrossFit"":26,""Dunlop Tires"":26,""Freshpet"":26,""Gyms"":26,""Mall"":26,""Marshalls"":26,""McDonald's"":26,""Moneygram"":26,""Regency Centers"":26,""Rue21"":26,""Sally Beauty"":26,""SmartStyle Hair Salons"":26,""Starbucks"":26,""StorAmerica Self Storage"":26,""Walgreens"":26,""Walmart"":26}","{""ARCO"":26,""AT&T"":26,""Bright Now Dental"":26,""Cardtronics"":26,""CrossFit"":26,""Dunlop Tires"":26,""FedEx"":26,""Freshpet"":26,""Golf Courses"":26,""Gyms"":26,""Ice Cream Parlors"":26,""Mall"":26,""Marshalls"":26,""McDonald's"":26,""Moneygram"":26,""Pronto (National Pronto Association)"":26,""Regency Centers"":26,""Rue21"":26,""Sally Beauty"":26}",43421 Monroe St,Lessors of Miniwarehouses and Self-Storage Units ,NSA,Lessors of Real Estate,26,None,26,None,None,None,"[0,0,0,0,26,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Electronics Stores,"{""<5"":52, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Farmington,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26,""ios"":26}",None,900531143739795550,8173338,False,US,42.4689217,Electronics Stores,-83.4079819,None,19820,443142,1970-01-01,A1_NAICS-443142,8173338,261251689022,48335,MI,"{""BP"":26,""BoA"":26,""EVTS"":26,""Grocery Stores"":26,""Hospitals"":26,""Moneygram"":26,""Ports"":26,""Western Union"":26}","{""Ace Hardware"":26,""BP"":26,""BoA"":26,""Brewers Association"":26,""CVS"":26,""Cardtronics"":26,""Chevrolet"":26,""Dunlop Tires"":26,""EVTS"":26,""Emagine"":26,""FedEx"":26,""Freshpet"":26,""Grocery Stores"":26,""Hospitals"":26,""KFC"":26,""Mall"":26,""Moneygram"":26,""OfficeMax"":26,""Ports"":26}",36528 Grand River Ave,Electronics Stores ,NAICS-443142,Electronics and Appliance Stores ,52,None,51,None,None,None,"[26,0,0,0,0,26,0]","[0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Grocery Stores,"{""<5"":51, ""5-20"":0, ""21-60"":0,""61-240"":26,"">240"":26}",Harmony,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26,""ios"":26}",None,3852094647627949981,13134020,False,US,42.0169365,Stevens Brothers,-79.499253,172.0,27460,445110,1970-01-01,A1_GROCERY-A,13134020,360130368022,14767-9651,NY,"{""CITGO"":26,""Convenience Stores"":26,""Country Fair"":26}","{""CITGO"":26,""Chrysler"":26,""Convenience Stores"":26,""Country Fair"":26,""Gas Stations"":26,""Golf Courses"":26,""Grocery Stores"":26,""Health Mart"":26,""Mobil"":26,""Truck Stops"":26,""Western Union"":26}",392 Goshen Rd,Supermarkets and Other Grocery (except Convenience) Stores ,GROCERY-A,Grocery Stores ,102,None,51,None,None,None,"[0,25,0,26,51,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,51,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":52, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Sarasota,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":51}",None,8615805704915045865,8941018,False,US,27.3474903,Full-Service Restaurants,-82.5303726,None,35840,722511,1970-01-01,A1_NAICS-722511,8941018,121150002001,34236,FL,"{""Mall"":51,""Dollar Tree"":26,""IHRSA (International Health, Racquet & Sportsclub Association)"":26,""Inven Trust Properties"":26,""Sodastream"":26,""Staples"":26,""Wells Fargo Advisors"":26,""Western Union"":26,""Westfield Corporation"":26}","{""Mall"":51,""Best Western"":26,""BoA"":26,""Chevron"":26,""Convenience Stores"":26,""Dollar Tree"":26,""Event Venues"":26,""Golf Courses"":26,""Hotel"":26,""Hungry Howie's Pizza & Subs"":26,""IHRSA (International Health, Racquet & Sportsclub Association)"":26,""Inven Trust Properties"":26,""Jimmy John's"":26,""Longhorn Steakhouse"":26,""Nursing Homes"":26,""Orangetheory"":26,""Phillips Edison"":26,""Publix"":26,""Red Lobster"":26}",1156 N Washington Blvd,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,52,None,51,None,None,None,"[0,0,0,26,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Enterprise Rent-A-Car ,"{""<5"":52, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",San Antonio,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26,""ios"":26}",None,7597213856108324442,5720655,False,US,29.5036535,Enterprise Rent-A-Car ,-98.560404,None,41700,532111,1970-01-01,A1_ENTCAR-A,5720655,480291810041,78229,TX,"{""Mall"":51,""CHRISTUS Health"":26,""Dunlop Tires"":26,""Freshpet"":26,""HCA"":26,""Lenny's Sub Shop"":26,""Moneygram"":26,""QBE Insurance"":26,""Salon Boutique"":26,""The Hartford"":26,""Travelers"":26,""Walmart"":26,""Western Union"":26}","{""Cardtronics"":51,""Freshpet"":51,""H-E-B"":51,""Mall"":51,""Time Warner"":51,""Western Union"":51,""American Gem Society"":26,""CHRISTUS Health"":26,""Car Rental Agencies"":26,""Convention Centers"":26,""Dunlop Tires"":26,""EVTS"":26,""Eye Med"":26,""FedEx"":26,""Grocery Stores"":26,""Guess"":26,""HCA"":26,""Helzberg Diamonds"":26,""Lenny's Sub Shop"":26}",5202 Fredericksburg Road,Passenger Car Rental ,ENTCAR-A,Automotive Equipment Rental and Leasing,52,None,51,None,None,None,"[0,0,0,26,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Edward Jones,"{""<5"":51, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Mckinney,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26,""ios"":26}",None,8112253286621608307,6250934,False,US,33.163241,"Edward D. Jones & Co., L.P.",-96.6801475,None,19100,523120,1970-01-01,A1_EJNS-A,6250934,480850305501,75070,TX,"{""Polaris"":26,""RaceTrac"":26,""Victory Motorcycles"":26}","{""Cardtronics"":51,""Convenience Stores"":51,""Dunlop Tires"":51,""Freshpet"":51,""Mall"":51,""Moneygram"":51,""Walmart"":51,""Western Union"":51,""AAA/CAA Auto Repair - Authorized Providers"":26,""Armstrong Flooring"":26,""Bank of the Ozarks"":26,""Blue Buffalo"":26,""Boston's Restaurant & Sports Bar"":26,""Burger Street"":26,""Buzztime"":26,""Chaco"":26,""Christian Brothers Automotive"":26,""Costco"":26,""Dairy Queen"":26}",3725 S Lake Forest Dr|Suite 112,Securities Brokerage ,EJNS-A,Securities and Commodity Contracts Intermediation and Brokerage,51,None,51,None,None,None,"[0,25,25,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":51, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Petoskey,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26,""ios"":26}",None,232591126893371164,8824754,False,US,45.3829994,Full-Service Restaurants,-84.9420471,None,None,722511,1970-01-01,A1_NAICS-722511,8824754,260479707001,49770,MI,"{""Armstrong Flooring"":26,""Big Boy"":26,""Convenience Stores"":26,""Covetrus"":26,""Crocs"":26,""Gas Stations"":26,""Grocery Stores"":26,""Home Depot"":26,""Pennzoil"":26,""Phillips Edison"":26,""Progressive"":26,""Verizon"":26}","{""Armstrong Flooring"":51,""Phillips Edison"":51,""B.C. Pizza"":26,""Big Boy"":26,""Biggby Coffee"":26,""ChargePoint"":26,""Convenience Stores"":26,""Covetrus"":26,""Crocs"":26,""Dunlop Tires"":26,""Edward Jones"":26,""Ez Mart Blarney Castle Oil"":26,""Family Fare"":26,""FedEx"":26,""Fraternal Order of Eagles"":26,""Freshpet"":26,""Gas Stations"":26,""Golf Courses"":26,""Grocery Stores"":26}",1099 N Us Highway 31,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,51,None,51,None,None,None,"[0,25,25,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":51, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Artesia,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":51}",None,9063351169597319785,8973646,False,US,33.8560486,Full-Service Restaurants,-118.0822525,None,31080,722511,1970-01-01,A1_NAICS-722511,8973646,060375549005,90701,CA,"{""Citibank"":26,""Gyms"":26,""Macerich"":26,""New York & Company"":26}","{""Restaurants"":51,""99 Cents Only Stores"":26,""Avalonbay Communities"":26,""Citibank"":26,""Coffee Shops"":26,""Gyms"":26,""Home Depot"":26,""Macerich"":26,""Mall"":26,""Michaels"":26,""New York & Company"":26,""Office Building"":26,""The American Red Cross"":26,""Vestar"":26}",19117 Pioneer Blvd,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,51,None,51,None,None,None,"[26,0,0,0,26,0,0]","[0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
